gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,status
GENE_0384,22.05,-0.316,0.388,-0.81,0.41524048737439434,0.7810514589688498,Not Significant
GENE_0238,114.35,-0.214,0.263,-0.81,0.4155405004696944,0.7810514589688498,Not Significant
GENE_0337,198.33,-0.121,0.148,-0.81,0.4162427712385386,0.7810514589688498,Not Significant
GENE_0365,96.2,0.179,0.22,0.81,0.41635536706327336,0.7810514589688498,Not Significant
GENE_0070,17.09,0.251,0.309,0.81,0.41704805339106976,0.7810514589688498,Not Significant
GENE_0487,78.39,0.432,0.534,0.81,0.41836942866155935,0.7810514589688498,Not Significant
GENE_0028,342.33,0.24,0.299,0.8,0.42083062217695455,0.7829739807169869,Not Significant
GENE_0154,1218.51,0.097,0.123,0.79,0.4299795368509768,0.7972541872766223,Not Significant
GENE_0200,83.42,0.266,0.339,0.78,0.4338105827558114,0.7972541872766223,Not Significant
GENE_0490,26.63,0.403,0.518,0.78,0.43610605374112255,0.7972541872766223,Not Significant
GENE_0190,160.44,0.261,0.336,0.78,0.4367412824232447,0.7972541872766223,Not Significant
GENE_0259,24.11,0.431,0.556,0.77,0.43850612986897675,0.7972541872766223,Not Significant
GENE_0450,452.3,-0.284,0.367,-0.77,0.43914188130686793,0.7972541872766223,Not Significant
GENE_0350,259.5,-0.327,0.423,-0.77,0.4392452798772847,0.7972541872766223,Not Significant
GENE_0405,113.88,0.257,0.334,0.77,0.44201217613194044,0.7972541872766223,Not Significant
GENE_0253,12.66,-0.27,0.353,-0.77,0.44398128499570677,0.7972541872766223,Not Significant
GENE_0458,128.26,0.332,0.436,0.76,0.44536392533825675,0.7972541872766223,Not Significant
GENE_0198,113.52,-0.253,0.332,-0.76,0.44607056471238526,0.7972541872766223,Not Significant
GENE_0492,390.91,-0.313,0.412,-0.76,0.44727402416147843,0.7972541872766223,Not Significant
GENE_0342,28.13,-0.203,0.268,-0.76,0.44745344697243705,0.7972541872766223,Not Significant
GENE_0476,374.16,-0.439,0.581,-0.76,0.4496327018173183,0.7985359996560815,Not Significant
GENE_0226,16.58,0.405,0.539,0.75,0.4523654523393815,0.8005109204200384,Not Significant
GENE_0128,231.88,-0.376,0.501,-0.75,0.45367163680111866,0.8005109204200384,Not Significant
GENE_0217,464.43,0.285,0.382,0.75,0.45518197106962976,0.8005933703379019,Not Significant
GENE_0228,122.39,0.216,0.292,0.74,0.4597419810768475,0.805021146842553,Not Significant
GENE_0126,706.74,-0.336,0.455,-0.74,0.460642813458353,0.805021146842553,Not Significant
GENE_0252,264.45,-0.178,0.242,-0.73,0.4635711170392569,0.8075586019760304,Not Significant
GENE_0019,28.24,0.281,0.386,0.73,0.46705434373956545,0.8110435746842612,Not Significant
GENE_0332,96.3,0.255,0.355,0.72,0.4732812522788523,0.814113151995824,Not Significant
GENE_0016,480.28,-0.217,0.303,-0.72,0.4744273244034988,0.814113151995824,Not Significant
GENE_0267,23.84,-0.273,0.381,-0.71,0.47479107003904397,0.814113151995824,Not Significant
GENE_0111,188.69,-0.25,0.351,-0.71,0.4764791266505629,0.814113151995824,Not Significant
GENE_0083,283.25,0.235,0.331,0.71,0.47742363464623405,0.814113151995824,Not Significant
GENE_0012,111.54,-0.38,0.535,-0.71,0.47775195939791504,0.814113151995824,Not Significant
GENE_0224,113.13,-0.322,0.456,-0.71,0.4800962082769673,0.8155671612655315,Not Significant
GENE_0193,96.47,-0.306,0.438,-0.7,0.4855596975825158,0.8222945962155919,Not Significant
GENE_0499,157.23,-0.244,0.352,-0.69,0.4874308249179512,0.8229156210806152,Not Significant
GENE_0209,73.4,0.324,0.468,0.69,0.48939614482529004,0.8236913575982574,Not Significant
TBP,176.72,0.224,0.328,0.68,0.4943157568436306,0.827700379715868,Not Significant
GENE_0360,76.98,0.359,0.527,0.68,0.4956566032913743,0.827700379715868,Not Significant
GENE_0457,409.6,-0.238,0.351,-0.68,0.4976426071915292,0.827700379715868,Not Significant
GENE_0380,896.73,-0.171,0.253,-0.68,0.49783075854939773,0.827700379715868,Not Significant
GENE_0186,444.31,-0.3,0.449,-0.67,0.5039859895005276,0.8353949583539049,Not Significant
GENE_0366,359.1,-0.222,0.335,-0.66,0.5078053007906044,0.8371198080709353,Not Significant
GENE_0266,313.9,0.318,0.48,0.66,0.5082184598121782,0.8371198080709353,Not Significant
GENE_0420,308.44,-0.254,0.385,-0.66,0.5096177259371507,0.8371198080709353,Not Significant
GENE_0151,72.39,-0.281,0.435,-0.65,0.5182474195649353,0.8474861127188631,Not Significant
GENE_0100,226.46,-0.215,0.334,-0.64,0.5199578153524871,0.8474861127188631,Not Significant
GENE_0410,108.48,-0.237,0.369,-0.64,0.5212189838169599,0.8474861127188631,Not Significant
GENE_0239,102.92,-0.314,0.491,-0.64,0.5221258135032119,0.8474861127188631,Not Significant
GENE_0112,221.32,-0.181,0.285,-0.64,0.5247862823971567,0.8479440553634352,Not Significant
GENE_0442,418.62,0.298,0.469,0.63,0.5255082902526591,0.8479440553634352,Not Significant
GENE_0001,25.32,-0.166,0.262,-0.63,0.5280834325768067,0.8495930518220979,Not Significant
GENE_0246,37.03,-0.186,0.299,-0.62,0.5341876828624422,0.8568934384919528,Not Significant
GENE_0336,526.28,0.229,0.374,0.61,0.5393140238592941,0.858699532425896,Not Significant
GENE_0069,112.35,-0.235,0.383,-0.61,0.5396062779139862,0.858699532425896,Not Significant
GENE_0066,141.22,0.135,0.221,0.61,0.5400231063153715,0.858699532425896,Not Significant
GENE_0093,172.99,-0.157,0.26,-0.6,0.546194039956702,0.8632474483791266,Not Significant
GENE_0293,90.39,-0.279,0.465,-0.6,0.5485781765945865,0.8632474483791266,Not Significant
GENE_0291,145.02,0.11,0.183,0.6,0.5487489487571839,0.8632474483791266,Not Significant
GENE_0007,995.6,-0.217,0.364,-0.6,0.5513694942897975,0.8632474483791266,Not Significant
GENE_0138,65.63,-0.128,0.217,-0.59,0.5554051404564398,0.8632474483791266,Not Significant
GENE_0181,51.4,0.119,0.202,0.59,0.5558903717219937,0.8632474483791266,Not Significant
GENE_0225,11.82,0.213,0.363,0.59,0.5575082912319644,0.8632474483791266,Not Significant
GENE_0277,235.37,-0.127,0.217,-0.59,0.5580902971868703,0.8632474483791266,Not Significant
GENE_0048,32.7,-0.232,0.396,-0.59,0.5584574397932738,0.8632474483791266,Not Significant
GENE_0361,123.57,-0.194,0.332,-0.58,0.5602174500816322,0.8632474483791266,Not Significant
GENE_0015,154.16,-0.177,0.305,-0.58,0.5607758422200041,0.8632474483791266,Not Significant
PPIA,55.22,-0.188,0.323,-0.58,0.5618210084514974,0.8632474483791266,Not Significant
GENE_0446,15.44,-0.375,0.658,-0.57,0.568277382014322,0.8707219270639612,Not Significant
GENE_0009,367.58,0.178,0.314,0.57,0.5709374638462251,0.8720408452020793,Not Significant
GENE_0352,144.4,-0.184,0.326,-0.56,0.5723266241819862,0.8720408452020793,Not Significant
GENE_0283,491.38,0.153,0.273,0.56,0.5742312290142336,0.8725124507521828,Not Significant
GENE_0047,47.94,0.237,0.427,0.55,0.5798664744588733,0.878634242462614,Not Significant
GENE_0153,89.62,-0.216,0.402,-0.54,0.5903611005170839,0.888887191312587,Not Significant
GENE_0468,269.04,-0.247,0.459,-0.54,0.5910520090085474,0.888887191312587,Not Significant
GENE_0236,233.13,-0.299,0.557,-0.54,0.5915081126833303,0.888887191312587,Not Significant
GENE_0079,133.27,-0.15,0.283,-0.53,0.5973060785950461,0.8894205957280038,Not Significant
GENE_0486,23.33,0.141,0.271,0.52,0.6041476637205748,0.8894205957280038,Not Significant
GENE_0359,386.31,0.163,0.314,0.52,0.6041676833848818,0.8894205957280038,Not Significant
GENE_0038,77.17,0.19,0.366,0.52,0.6044387886245436,0.8894205957280038,Not Significant
GENE_0448,739.46,0.2,0.387,0.52,0.6049091989815778,0.8894205957280038,Not Significant
GENE_0005,230.3,0.238,0.461,0.52,0.6052993235355723,0.8894205957280038,Not Significant
GENE_0255,49.37,-0.174,0.336,-0.52,0.6055895651120923,0.8894205957280038,Not Significant
GENE_0284,12.35,-0.431,0.839,-0.51,0.6073385787109846,0.8894205957280038,Not Significant
GENE_0158,218.55,-0.256,0.498,-0.51,0.6079607171977548,0.8894205957280038,Not Significant
GENE_0387,163.1,0.182,0.354,0.51,0.6081230398579038,0.8894205957280038,Not Significant
GENE_0304,160.85,-0.121,0.241,-0.5,0.6154190636266444,0.8976912741433988,Not Significant
GENE_0078,223.51,-0.188,0.378,-0.5,0.6194473211799474,0.9011640550144447,Not Significant
GENE_0330,69.77,-0.195,0.399,-0.49,0.6249555280024607,0.9067657130433581,Not Significant
GENE_0431,417.69,0.081,0.166,0.48,0.6283026734459148,0.9075484139409403,Not Significant
GENE_0385,1377.58,0.116,0.242,0.48,0.6324920098894584,0.9075484139409403,Not Significant
GENE_0327,16.74,0.313,0.655,0.48,0.6329425391916934,0.9075484139409403,Not Significant
GENE_0388,44.41,-0.167,0.352,-0.48,0.6344378560810027,0.9075484139409403,Not Significant
GENE_0197,18.9,-0.14,0.296,-0.47,0.6356126308841635,0.9075484139409403,Not Significant
GENE_0222,201.56,-0.155,0.328,-0.47,0.6369204988201023,0.9075484139409403,Not Significant
GENE_0127,98.46,-0.118,0.251,-0.47,0.6371089414137496,0.9075484139409403,Not Significant
GENE_0393,94.99,0.206,0.446,0.46,0.6436138542767451,0.9134197457076089,Not Significant
PGK1,257.95,0.14,0.307,0.46,0.647890094251824,0.9134197457076089,Not Significant
GENE_0182,165.02,-0.133,0.293,-0.45,0.6495008900580368,0.9134197457076089,Not Significant
GENE_0221,30.61,-0.233,0.517,-0.45,0.6523308702765902,0.9134197457076089,Not Significant
GENE_0017,180.38,-0.086,0.19,-0.45,0.6524299218359182,0.9134197457076089,Not Significant
GENE_0220,310.29,0.17,0.38,0.45,0.6555467177983999,0.9134197457076089,Not Significant
GENE_0101,28.91,0.111,0.249,0.45,0.6558718778415047,0.9134197457076089,Not Significant
GENE_0113,25.97,0.16,0.36,0.44,0.6576403314754913,0.9134197457076089,Not Significant
GENE_0421,462.83,-0.163,0.371,-0.44,0.6598589426563592,0.9134197457076089,Not Significant
GENE_0035,48.01,-0.157,0.359,-0.44,0.6616360057534638,0.9134197457076089,Not Significant
GENE_0040,347.51,0.07,0.16,0.44,0.6624321581951429,0.9134197457076089,Not Significant
GENE_0338,44.88,-0.092,0.212,-0.44,0.6634656968181869,0.9134197457076089,Not Significant
GENE_0474,258.14,-0.156,0.361,-0.43,0.6655938923176495,0.9134197457076089,Not Significant
GENE_0098,49.5,0.142,0.328,0.43,0.6658951623722481,0.9134197457076089,Not Significant
GENE_0343,146.81,0.099,0.23,0.43,0.6662787541816013,0.9134197457076089,Not Significant
RPLP0,47.18,-0.089,0.208,-0.43,0.66863535380041,0.9143588463220605,Not Significant
GENE_0274,317.58,0.115,0.271,0.43,0.6703170762137145,0.9143726700471368,Not Significant
GENE_0043,533.34,-0.115,0.275,-0.42,0.6742679635409141,0.9174740697932339,Not Significant
GENE_0376,208.66,-0.077,0.187,-0.41,0.6805853160599562,0.9196818259003515,Not Significant
GENE_0148,173.01,-0.152,0.37,-0.41,0.6806652949458847,0.9196818259003515,Not Significant
GENE_0417,354.18,0.186,0.451,0.41,0.6809344414801506,0.9196818259003515,Not Significant
GENE_0271,542.49,-0.168,0.413,-0.41,0.6835038508313187,0.920878340898353,Not Significant
GENE_0301,388.02,-0.113,0.282,-0.4,0.6880399800067213,0.9214744604237548,Not Significant
GENE_0185,498.43,0.207,0.519,0.4,0.6900861254388593,0.9214744604237548,Not Significant
GENE_0119,78.68,0.155,0.39,0.4,0.6905405540487164,0.9214744604237548,Not Significant
GENE_0210,36.82,0.133,0.334,0.4,0.6906846961128693,0.9214744604237548,Not Significant
GENE_0491,194.16,0.125,0.316,0.4,0.6927870443191829,0.9220304458457252,Not Significant
GENE_0409,93.68,-0.118,0.305,-0.39,0.6982045140466424,0.9227749556571434,Not Significant
GENE_0459,149.51,-0.068,0.176,-0.39,0.6982155193245434,0.9227749556571434,Not Significant
GENE_0389,18.87,0.202,0.521,0.39,0.6984073704607996,0.9227749556571434,Not Significant
GENE_0024,916.5,0.12,0.313,0.38,0.7006731295286515,0.9231609969098643,Not Significant
GENE_0250,95.72,0.127,0.332,0.38,0.702962167894785,0.9231609969098643,Not Significant
GENE_0375,303.6,-0.155,0.408,-0.38,0.7037625881378673,0.9231609969098643,Not Significant
GENE_0498,41.78,-0.131,0.349,-0.38,0.7066195053680314,0.924691075206491,Not Significant
GENE_0469,132.52,-0.149,0.401,-0.37,0.7103351379145246,0.9247119973531447,Not Significant
GENE_0212,45.82,0.114,0.309,0.37,0.711324778106912,0.9247119973531447,Not Significant
GENE_0363,72.06,-0.166,0.452,-0.37,0.7136397482698357,0.9247119973531447,Not Significant
GENE_0254,45.0,0.13,0.355,0.37,0.714676916381944,0.9247119973531447,Not Significant
GENE_0308,297.55,0.072,0.196,0.37,0.7150880710793057,0.9247119973531447,Not Significant
GENE_0423,153.68,-0.131,0.372,-0.35,0.724579901748027,0.9294664115294425,Not Significant
GENE_0171,371.36,-0.09,0.256,-0.35,0.7246263832298205,0.9294664115294425,Not Significant
GENE_0398,163.83,-0.114,0.324,-0.35,0.7261599100132179,0.9294664115294425,Not Significant
GENE_0404,417.11,0.111,0.321,0.35,0.7283138879658229,0.9294664115294425,Not Significant
GENE_0233,284.16,-0.066,0.192,-0.35,0.7289528722257321,0.9294664115294425,Not Significant
GENE_0023,28.39,0.198,0.576,0.34,0.7312388101271884,0.9294664115294425,Not Significant
GENE_0279,176.03,0.075,0.219,0.34,0.7322589866200984,0.9294664115294425,Not Significant
HPRT1,17.74,-0.12,0.35,-0.34,0.7323583608211878,0.9294664115294425,Not Significant
GENE_0333,134.58,0.143,0.423,0.34,0.7350311543734971,0.9295610949249817,Not Significant
GENE_0462,266.43,-0.117,0.346,-0.34,0.7358317259643823,0.9295610949249817,Not Significant
GENE_0110,275.83,0.178,0.536,0.33,0.7394983433186817,0.9317000413553916,Not Significant
GENE_0106,255.08,0.11,0.332,0.33,0.7409314771290592,0.9317000413553916,Not Significant
GENE_0449,126.59,0.098,0.302,0.32,0.745794967993747,0.9356647878270176,Not Significant
GENE_0415,159.67,0.117,0.368,0.32,0.7502787041626859,0.9376470932618812,Not Significant
GENE_0339,209.73,-0.155,0.488,-0.32,0.7508033397599707,0.9376470932618812,Not Significant
GENE_0400,97.12,-0.071,0.228,-0.31,0.7569286166207213,0.9381706247026722,Not Significant
GENE_0218,35.44,0.142,0.461,0.31,0.7574484471266991,0.9381706247026722,Not Significant
GENE_0201,37.77,-0.142,0.461,-0.31,0.7588896119702893,0.9381706247026722,Not Significant
GENE_0174,80.42,-0.119,0.389,-0.31,0.759540976689874,0.9381706247026722,Not Significant
GENE_0178,180.07,-0.144,0.471,-0.31,0.7597981476111221,0.9381706247026722,Not Significant
GENE_0302,220.5,-0.144,0.484,-0.3,0.7664031226624191,0.9425583070884709,Not Significant
GENE_0021,44.06,-0.128,0.444,-0.29,0.7740519443380529,0.9425583070884709,Not Significant
GENE_0071,126.75,-0.084,0.295,-0.29,0.7750348961796596,0.9425583070884709,Not Significant
GENE_0063,142.33,-0.058,0.206,-0.28,0.7767326277736539,0.9425583070884709,Not Significant
GENE_0203,545.78,0.132,0.467,0.28,0.7781636178719212,0.9425583070884709,Not Significant
GENE_0335,542.43,-0.125,0.448,-0.28,0.7802769994085476,0.9425583070884709,Not Significant
GENE_0013,134.73,-0.199,0.713,-0.28,0.7805226909383677,0.9425583070884709,Not Significant
GENE_0206,77.1,-0.074,0.266,-0.28,0.7817742088782101,0.9425583070884709,Not Significant
GENE_0010,25.48,0.072,0.261,0.28,0.7824360009911022,0.9425583070884709,Not Significant
GENE_0399,194.99,-0.108,0.392,-0.28,0.7826864398610689,0.9425583070884709,Not Significant
GENE_0140,55.52,0.085,0.311,0.27,0.7848265244088142,0.9425583070884709,Not Significant
GENE_0438,260.16,-0.056,0.205,-0.27,0.7852800319595403,0.9425583070884709,Not Significant
GENE_0441,83.96,0.1,0.372,0.27,0.7871679898766193,0.9425583070884709,Not Significant
GENE_0057,27.77,-0.136,0.505,-0.27,0.7874755874578268,0.9425583070884709,Not Significant
GENE_0147,136.61,0.094,0.362,0.26,0.7953047647909695,0.9473131201586368,Not Significant
GENE_0494,89.83,-0.074,0.285,-0.26,0.7959219226122451,0.9473131201586368,Not Significant
GENE_0223,204.16,-0.091,0.357,-0.26,0.7976772321509824,0.9473131201586368,Not Significant
GENE_0356,341.34,0.102,0.403,0.25,0.800343275278132,0.9473131201586368,Not Significant
GENE_0346,43.92,-0.095,0.375,-0.25,0.8005205355212389,0.9473131201586368,Not Significant
GENE_0370,46.96,0.122,0.486,0.25,0.801839076112338,0.9473131201586368,Not Significant
GENE_0467,55.93,-0.154,0.622,-0.25,0.8044266506122222,0.948321935096736,Not Significant
GENE_0004,16.11,-0.076,0.316,-0.24,0.809730691081947,0.9492123995418192,Not Significant
GENE_0318,21.36,0.11,0.462,0.24,0.8113089144639443,0.9492123995418192,Not Significant
GENE_0395,143.16,0.036,0.154,0.24,0.8133442808738589,0.9492123995418192,Not Significant
GENE_0008,146.45,-0.087,0.37,-0.24,0.8137165776253422,0.9492123995418192,Not Significant
GENE_0003,358.18,-0.091,0.386,-0.24,0.8138585290404264,0.9492123995418192,Not Significant
GENE_0044,125.03,0.093,0.401,0.23,0.8171706829186898,0.9510475820351559,Not Significant
GENE_0169,59.78,0.045,0.198,0.23,0.8202796765155681,0.9521760511782646,Not Significant
GENE_0340,220.33,-0.057,0.254,-0.23,0.8216217480002577,0.9521760511782646,Not Significant
GENE_0164,252.96,0.081,0.367,0.22,0.8257728673526035,0.9522485493297259,Not Significant
GENE_0162,282.48,0.055,0.251,0.22,0.8258192841837182,0.9522485493297259,Not Significant
GENE_0454,22.85,0.121,0.551,0.22,0.8269068755605481,0.9522485493297259,Not Significant
GENE_0341,1040.2,-0.067,0.331,-0.2,0.8405777951321772,0.9659580965069348,Not Significant
GENE_0383,217.54,-0.049,0.249,-0.19,0.8454775853414264,0.9695518641127049,Not Significant
GENE_0334,65.96,0.099,0.52,0.19,0.8497377695939247,0.9700690820462411,Not Significant
GENE_0002,302.51,0.079,0.421,0.19,0.8511229645258085,0.9700690820462411,Not Significant
GENE_0165,84.52,0.057,0.304,0.19,0.8512489202599557,0.9700690820462411,Not Significant
GENE_0413,39.83,-0.091,0.505,-0.18,0.8575544459753406,0.9752230393939944,Not Significant
GENE_0483,364.0,-0.038,0.215,-0.17,0.8616682542653005,0.975999324051729,Not Significant
GENE_0300,590.39,0.07,0.404,0.17,0.861805618861033,0.975999324051729,Not Significant
GENE_0243,447.9,0.092,0.548,0.17,0.8659355083007942,0.9771125229691322,Not Significant
GENE_0378,93.03,0.071,0.423,0.17,0.8663611949543494,0.9771125229691322,Not Significant
GENE_0208,76.63,-0.129,0.779,-0.16,0.8689769541166903,0.9780460779873037,Not Significant
GENE_0329,371.92,0.058,0.368,0.16,0.8745408569495112,0.9798658668485261,Not Significant
GENE_0046,83.68,0.087,0.558,0.16,0.8758216997627786,0.9798658668485261,Not Significant
GENE_0011,60.49,-0.064,0.411,-0.16,0.8759678407475855,0.9798658668485261,Not Significant
SDHA,333.34,-0.023,0.152,-0.15,0.8806935316123599,0.9814057392211217,Not Significant
GENE_0135,107.18,-0.044,0.294,-0.15,0.8809327567780088,0.9814057392211217,Not Significant
GENE_0123,169.8,-0.04,0.279,-0.14,0.8858923588222872,0.9816546874536227,Not Significant
GENE_0229,158.95,0.074,0.517,0.14,0.8863194059617424,0.9816546874536227,Not Significant
GENE_0453,83.75,0.027,0.192,0.14,0.8865400650860871,0.9816546874536227,Not Significant
GENE_0500,30.12,-0.066,0.499,-0.13,0.8940608292399765,0.9866417584415206,Not Significant
GENE_0235,157.1,0.06,0.454,0.13,0.8946513933948705,0.9866417584415206,Not Significant
GENE_0456,34.82,0.037,0.291,0.13,0.8977575648131113,0.9880752272691588,Not Significant
GENE_0207,133.99,0.039,0.353,0.11,0.912475893043093,0.99525542556375,Not Significant
GENE_0463,71.57,-0.055,0.505,-0.11,0.9125991621490006,0.99525542556375,Not Significant
GENE_0136,343.42,0.037,0.344,0.11,0.9132140625735274,0.99525542556375,Not Significant
GENE_0213,107.53,-0.038,0.352,-0.11,0.9135591781255316,0.99525542556375,Not Significant
GENE_0397,21.71,0.063,0.586,0.11,0.9148822043408951,0.99525542556375,Not Significant
GENE_0205,803.83,-0.018,0.17,-0.1,0.9165340382749287,0.99525542556375,Not Significant
GENE_0323,588.59,-0.047,0.474,-0.1,0.9203348216239934,0.99525542556375,Not Significant
GENE_0471,172.15,-0.029,0.291,-0.1,0.9205317657415287,0.99525542556375,Not Significant
GENE_0120,164.13,0.02,0.212,0.1,0.9241370530181411,0.99525542556375,Not Significant
GENE_0392,474.83,-0.038,0.4,-0.09,0.9248775157166877,0.99525542556375,Not Significant
GENE_0351,161.86,-0.026,0.293,-0.09,0.9279858322239356,0.99525542556375,Not Significant
GENE_0173,96.2,-0.035,0.386,-0.09,0.9283689919483686,0.99525542556375,Not Significant
GENE_0188,62.79,0.027,0.303,0.09,0.9296263343694332,0.99525542556375,Not Significant
GENE_0377,564.21,0.029,0.326,0.09,0.9303900225091717,0.99525542556375,Not Significant
GENE_0095,163.92,-0.041,0.494,-0.08,0.9339755153593963,0.99525542556375,Not Significant
GENE_0149,218.6,0.016,0.192,0.08,0.9354222007643314,0.99525542556375,Not Significant
GENE_0034,32.73,-0.037,0.452,-0.08,0.9354360032053881,0.99525542556375,Not Significant
GENE_0268,756.94,-0.034,0.437,-0.08,0.9370320734283935,0.99525542556375,Not Significant
GENE_0443,126.13,-0.023,0.308,-0.07,0.9404156770188348,0.9962324790484622,Not Significant
GENE_0331,183.68,-0.021,0.318,-0.07,0.9462701065861586,0.9962324790484622,Not Significant
GENE_0290,162.9,0.039,0.61,0.06,0.9488463371753253,0.9962324790484622,Not Significant
GENE_0152,53.35,-0.024,0.373,-0.06,0.9492000798933096,0.9962324790484622,Not Significant
GENE_0460,393.24,0.029,0.453,0.06,0.9495900354256297,0.9962324790484622,Not Significant
GENE_0116,161.66,-0.024,0.406,-0.06,0.9523823627325207,0.9962324790484622,Not Significant
GENE_0088,283.01,-0.02,0.351,-0.06,0.9538412299838644,0.9962324790484622,Not Significant
GENE_0006,378.66,-0.021,0.37,-0.06,0.9542133026292826,0.9962324790484622,Not Significant
GENE_0428,74.1,-0.034,0.593,-0.06,0.9546385380066128,0.9962324790484622,Not Significant
GENE_0386,569.26,0.021,0.386,0.05,0.9571542439472857,0.9962324790484622,Not Significant
GENE_0248,288.67,0.01,0.192,0.05,0.9579858939295999,0.9962324790484622,Not Significant
GENE_0159,85.7,-0.017,0.371,-0.05,0.9639289928371562,0.9980649977556932,Not Significant
GENE_0150,583.66,0.009,0.21,0.04,0.9675761497876728,0.9980649977556932,Not Significant
GENE_0362,59.15,0.015,0.373,0.04,0.9678913644737732,0.9980649977556932,Not Significant
GENE_0445,173.49,-0.007,0.173,-0.04,0.9687670894859093,0.9980649977556932,Not Significant
GENE_0180,533.61,0.006,0.154,0.04,0.9696647766517142,0.9980649977556932,Not Significant
GENE_0125,305.77,0.011,0.308,0.04,0.9706957565009667,0.9980649977556932,Not Significant
GENE_0414,91.8,-0.012,0.399,-0.03,0.9761407244379385,0.999453876949328,Not Significant
GENE_0432,841.18,0.009,0.338,0.03,0.9791988714456092,0.999453876949328,Not Significant
GENE_0353,61.81,0.011,0.425,0.03,0.9795537106725372,0.999453876949328,Not Significant
GENE_0087,103.43,-0.007,0.318,-0.02,0.9819183322172963,0.999453876949328,Not Significant
GENE_0249,83.48,0.004,0.175,0.02,0.9819489996074289,0.999453876949328,Not Significant
GENE_0081,382.49,0.004,0.258,0.02,0.9862158278707072,0.999453876949328,Not Significant
GENE_0102,120.04,0.003,0.262,0.01,0.989537786344995,0.999453876949328,Not Significant
GENE_0089,83.12,0.005,0.395,0.01,0.9901364312526176,0.999453876949328,Not Significant
GENE_0321,94.16,-0.003,0.272,-0.01,0.9905976146903949,0.999453876949328,Not Significant
GENE_0305,299.8,0.002,0.247,0.01,0.9935917035198939,0.999453876949328,Not Significant
GENE_0146,48.35,-0.003,0.464,-0.01,0.9945823404323917,0.999453876949328,Not Significant
GENE_0020,48.03,-0.001,0.322,-0.0,0.9977884030287894,0.999453876949328,Not Significant
GENE_0059,643.74,0.001,0.347,0.0,0.9987996958886081,0.999453876949328,Not Significant
MKI67,88.26,-0.001,0.51,-0.0,0.9991531340891616,0.999453876949328,Not Significant
GENE_0358,56.44,0.0,0.617,0.0,0.9994538769493279,0.999453876949328,Not Significant
